"location","reference_date","horizon","target","target_end_date","output_type","output_type_id","value"
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.025,0.0169330854838501
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.05,0.111187004032606
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.1,0.398521904150165
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.25,0.992742503861532
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.5,1.68882740903316
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.75,2.35286431092794
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.9,3.52514111505915
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.95,4.43234534115568
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.975,5.05177773396256
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.025,0
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.05,0.0280599723296126
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.1,0.170203330171645
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.25,0.6528236920148
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.5,1.37132334105229
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.75,2.35286303074159
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.9,3.69195895568549
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.95,4.85294954423324
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.975,5.45536994250676
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.025,0
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.05,0
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.1,0.0311159853306538
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.25,0.425723389603018
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.5,1.19949577911097
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.75,2.18370132382792
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.9,3.84632996768589
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.95,5.11042872847993
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.975,5.75507747370777
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.025,0
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.05,0
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.1,0
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.25,0.294041699767488
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.5,1.01058051955266
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.75,2.02249681163308
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.9,3.7200926406017
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.95,4.80545646902849
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.975,5.64164869955229
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.025,0.243251714694418
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.05,0.726104533208845
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.1,1.26551677169577
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.25,1.89968265725473
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.5,2.58121645585525
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.75,3.08498715687403
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.9,3.88920459616875
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.95,4.60014739982822
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.975,5.02974192730386
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.025,0.29588070957983
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.05,0.487543425226463
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.1,0.903206078273392
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.25,1.53453068162817
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.5,2.36049008934251
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.75,3.07543674636275
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.9,4.14308715730015
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.95,4.97824508613785
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.975,5.58584166993213
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.025,0.089261235841499
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.05,0.210738107985338
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.1,0.546591922346132
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.25,1.22549598760996
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.5,2.08283275872943
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.75,2.96188583810811
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.9,4.09396734536776
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.95,4.87881377674132
"austin",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.975,5.42063783607014
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.025,0.0163904951717738
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.05,0.0629582775775423
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.1,0.228666764682985
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.25,0.925537268123097
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.5,1.69398730427757
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.75,2.76986772755909
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.9,3.89316530528851
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.95,4.60063419739609
"austin",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.975,5.11577393443758
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.025,0
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.05,0.407780537338611
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.1,0.87693463734688
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.25,1.52345590527394
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.5,2.18738928678667
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.75,2.83950250432486
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.9,4.03345685120191
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.95,4.93468263185022
"baltimore",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.975,5.55998882496046
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.025,0.0791754230020717
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.05,0.25176672251924
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.1,0.53808911193012
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.25,1.10748630368684
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.5,1.98789530166102
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.75,2.81380089784427
"baltimore",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.9,4.29555729528496
