"model_id","reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.025,2.02750628106097
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.05,2.39778663885922
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.1,2.61830741078768
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.25,3.16734921310604
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.5,3.67612447607392
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.75,4.28872483528113
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.9,4.92960574022744
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.95,5.39451995291389
"simple-ensemble-mean","2025-03-01","Austin",-1,"Flu ED visits pct","2025-02-22","quantile",0.975,5.99608146549039
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.025,1.2117488162484
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.05,1.41607582248255
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.1,1.82031438134513
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.25,2.44973902495142
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.5,3.09207074059697
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.75,4.13751042948556
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.9,4.93724118129628
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.95,5.68107764609087
"simple-ensemble-mean","2025-03-01","Austin",0,"Flu ED visits pct","2025-03-01","quantile",0.975,6.4337444131084
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.025,0.879110337195853
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.05,1.0588981765958
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.1,1.22212425074082
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.25,1.8532944720724
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.5,2.78078247644101
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.75,3.50525186687778
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.9,4.45510714513193
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.95,5.27321531507056
"simple-ensemble-mean","2025-03-01","Austin",1,"Flu ED visits pct","2025-03-08","quantile",0.975,6.09586824893699
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.025,0.648425563689377
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.05,0.875581896546174
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.1,1.02250503939175
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.25,1.58221130489048
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.5,2.20235491035071
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.75,2.99452397996515
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.9,4.21602448006955
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.95,5.16523312023433
"simple-ensemble-mean","2025-03-01","Austin",2,"Flu ED visits pct","2025-03-15","quantile",0.975,5.95480822400986
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.025,0.497163735010337
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.05,0.743758146357267
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.1,0.831717608702577
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.25,1.43612659420551
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.5,2.01774697975281
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.75,2.67508739373479
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.9,3.58726515647585
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.95,4.89028229332779
"simple-ensemble-mean","2025-03-01","Austin",3,"Flu ED visits pct","2025-03-22","quantile",0.975,5.51936510968443
"simple-ensemble-mean","2025-03-01","Austin",4,"Flu ED visits pct","2025-03-29","quantile",0.025,0.167871625
"simple-ensemble-mean","2025-03-01","Austin",4,"Flu ED visits pct","2025-03-29","quantile",0.05,0.208543725
"simple-ensemble-mean","2025-03-01","Austin",4,"Flu ED visits pct","2025-03-29","quantile",0.1,0.2754498
"simple-ensemble-mean","2025-03-01","Austin",4,"Flu ED visits pct","2025-03-29","quantile",0.25,0.433411625
"simple-ensemble-mean","2025-03-01","Austin",4,"Flu ED visits pct","2025-03-29","quantile",0.5,1.2198475
"simple-ensemble-mean","2025-03-01","Austin",4,"Flu ED visits pct","2025-03-29","quantile",0.75,2.15305875
