"location","reference_date","horizon","target","target_end_date","output_type","output_type_id","value"
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.025,0.302219866706221
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.05,0.465105060667726
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.1,0.712724850808692
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.25,1.14715343768855
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.5,1.67398516965737
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.75,2.37596538128352
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.9,3.30694235109981
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.95,3.89295622062573
"athens",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.975,4.63527788417042
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.025,0.15667660668435
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.05,0.256111452346608
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.1,0.405992755397223
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.25,0.918343230580226
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.5,1.48220789689216
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.75,2.26196805985082
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.9,3.32161435019823
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.95,4.16294254744006
"athens",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.975,4.93764438882554
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.025,0.116176684969458
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.05,0.178748783458412
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.1,0.248103236424427
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.25,0.725871139380519
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.5,1.34081847346656
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.75,2.14171326037228
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.9,3.32722818317988
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.95,4.22608524583846
"athens",2026-01-24,2,"Flu ED visits pct",2026-02-07,"quantile",0.975,5.11173229700004
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.025,0.0875236878565568
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.05,0.137763753251153
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.1,0.201875265313446
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.25,0.551226216380435
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.5,1.15168455287213
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.75,1.97289799336919
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.9,3.18490266448408
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.95,4.20888018913682
"athens",2026-01-24,3,"Flu ED visits pct",2026-02-14,"quantile",0.975,5.14945162056255
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.025,0.983549618227135
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.05,1.21710847009769
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.1,1.4829791019788
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.25,1.95418732539476
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.5,2.47615631330667
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.75,3.12932219872064
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.9,3.68103056442153
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.95,4.25317268045556
"austin",2026-01-24,0,"Flu ED visits pct",2026-01-24,"quantile",0.975,4.72831172243751
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.025,0.708427907833683
"austin",2026-01-24,1,"Flu ED visits pct",2026-01-31,"quantile",0.05,0.96882952048809
