Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Select Metric,
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk27,Average Ratio,0.0033
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk28,Average Ratio,0.0039
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk29,Average Ratio,0.0038
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk30,Average Ratio,0.0046
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk31,Average Ratio,0.004
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk32,Average Ratio,0.0041
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk33,Average Ratio,0.0037
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk34,Average Ratio,0.0044
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk35,Average Ratio,0.0046
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk36,Average Ratio,0.0039
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk37,Average Ratio,0.0046
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk38,Average Ratio,0.0061
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk39,Average Ratio,0.0063
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk40,Average Ratio,0.0053
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk41,Average Ratio,0.0058
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk42,Average Ratio,0.0067
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk43,Average Ratio,0.0068
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk44,Average Ratio,0.006
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk45,Average Ratio,0.0072
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk46,Average Ratio,0.0077
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk47,Average Ratio,0.0078
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk48,Average Ratio,0.009
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk49,Average Ratio,0.01
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk50,Average Ratio,0.0104
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk51,Average Ratio,0.0121
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk52,Average Ratio,0.0161
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2024 wk53,Average Ratio,0.0172
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk1,Average Ratio,0.0158
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk2,Average Ratio,0.0164
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk3,Average Ratio,0.0193
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk4,Average Ratio,0.0223
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk5,Average Ratio,0.0187
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk6,Average Ratio,0.0173
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk7,Average Ratio,0.0146
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk8,Average Ratio,0.0119
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk9,Average Ratio,0.0094
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk10,Average Ratio,0.0088
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk11,Average Ratio,0.0086
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk12,Average Ratio,0.0088
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk13,Average Ratio,0.0077
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk14,Average Ratio,0.0075
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk15,Average Ratio,0.0073
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk16,Average Ratio,0.006
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk17,Average Ratio,0.0054
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk18,Average Ratio,0.005
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk19,Average Ratio,0.0051
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk20,Average Ratio,0.0059
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk21,Average Ratio,0.0057
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk22,Average Ratio,0.0054
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk23,Average Ratio,0.0055
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk24,Average Ratio,0.0053
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2025 wk25,Average Ratio,0.0053
