Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Select Metric,
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk1,Average Ratio,0.042
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk2,Average Ratio,0.03
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk3,Average Ratio,0.026
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk4,Average Ratio,0.025
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk5,Average Ratio,0.029
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk6,Average Ratio,0.032
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk7,Average Ratio,0.041
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk8,Average Ratio,0.043
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk9,Average Ratio,0.041
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk10,Average Ratio,0.038
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk11,Average Ratio,0.047
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk12,Average Ratio,0.04
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk13,Average Ratio,0.035
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk14,Average Ratio,0.03
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk15,Average Ratio,0.029
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk16,Average Ratio,0.029
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk17,Average Ratio,0.026
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk18,Average Ratio,0.023
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk19,Average Ratio,0.019
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk20,Average Ratio,0.017
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk21,Average Ratio,0.019
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk22,Average Ratio,0.019
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk23,Average Ratio,0.015
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk24,Average Ratio,0.015
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk25,Average Ratio,0.014
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk26,Average Ratio,0.013
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk27,Average Ratio,0.013
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk28,Average Ratio,0.014
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,2016 wk29,Average Ratio,0.015
