geo_value,signal,time_value,value,region
1 NENC,pct_ed_visits_influenza,1/10/09,0.09,1 NENC
2 SENC,pct_ed_visits_influenza,1/10/09,0.04,2 SENC
3 FAY AREA,pct_ed_visits_influenza,1/10/09,0.25,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,1/10/09,0.13,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,1/10/09,0.13,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,1/10/09,0.02,6 WNC
7 CLT AREA,pct_ed_visits_influenza,1/10/09,0.21,7 CLT AREA
1 NENC,pct_ed_visits_influenza,1/17/09,0.1,1 NENC
2 SENC,pct_ed_visits_influenza,1/17/09,0.08,2 SENC
3 FAY AREA,pct_ed_visits_influenza,1/17/09,0.21,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,1/17/09,0.13,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,1/17/09,0.18,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,1/17/09,0.04,6 WNC
7 CLT AREA,pct_ed_visits_influenza,1/17/09,0.12,7 CLT AREA
1 NENC,pct_ed_visits_influenza,1/24/09,0.18,1 NENC
2 SENC,pct_ed_visits_influenza,1/24/09,0.11,2 SENC
3 FAY AREA,pct_ed_visits_influenza,1/24/09,0.25,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,1/24/09,0.09,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,1/24/09,0.28,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,1/24/09,0.06,6 WNC
7 CLT AREA,pct_ed_visits_influenza,1/24/09,0.08,7 CLT AREA
1 NENC,pct_ed_visits_influenza,1/31/09,0.22,1 NENC
2 SENC,pct_ed_visits_influenza,1/31/09,0.2,2 SENC
3 FAY AREA,pct_ed_visits_influenza,1/31/09,0.23,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,1/31/09,0.2,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,1/31/09,0.39,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,1/31/09,0.11,6 WNC
7 CLT AREA,pct_ed_visits_influenza,1/31/09,0.14,7 CLT AREA
1 NENC,pct_ed_visits_influenza,2/7/09,0.35,1 NENC
2 SENC,pct_ed_visits_influenza,2/7/09,0.22,2 SENC
3 FAY AREA,pct_ed_visits_influenza,2/7/09,0.34,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,2/7/09,0.3,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,2/7/09,0.62,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,2/7/09,0.22,6 WNC
7 CLT AREA,pct_ed_visits_influenza,2/7/09,0.42,7 CLT AREA
1 NENC,pct_ed_visits_influenza,2/14/09,0.53,1 NENC
2 SENC,pct_ed_visits_influenza,2/14/09,0.88,2 SENC
3 FAY AREA,pct_ed_visits_influenza,2/14/09,0.66,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,2/14/09,0.62,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,2/14/09,0.81,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,2/14/09,0.51,6 WNC
7 CLT AREA,pct_ed_visits_influenza,2/14/09,0.58,7 CLT AREA
1 NENC,pct_ed_visits_influenza,2/21/09,0.97,1 NENC
2 SENC,pct_ed_visits_influenza,2/21/09,0.73,2 SENC
3 FAY AREA,pct_ed_visits_influenza,2/21/09,0.8,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,2/21/09,1,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,2/21/09,0.88,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,2/21/09,0.73,6 WNC
7 CLT AREA,pct_ed_visits_influenza,2/21/09,0.87,7 CLT AREA
1 NENC,pct_ed_visits_influenza,2/28/09,1.47,1 NENC
2 SENC,pct_ed_visits_influenza,2/28/09,1.37,2 SENC
3 FAY AREA,pct_ed_visits_influenza,2/28/09,1.31,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,2/28/09,1.31,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,2/28/09,1.06,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,2/28/09,1.13,6 WNC
7 CLT AREA,pct_ed_visits_influenza,2/28/09,0.85,7 CLT AREA
1 NENC,pct_ed_visits_influenza,3/7/09,1.23,1 NENC
2 SENC,pct_ed_visits_influenza,3/7/09,1.8,2 SENC
3 FAY AREA,pct_ed_visits_influenza,3/7/09,2.28,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,3/7/09,1.15,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,3/7/09,0.93,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,3/7/09,1.31,6 WNC
7 CLT AREA,pct_ed_visits_influenza,3/7/09,1.1,7 CLT AREA
1 NENC,pct_ed_visits_influenza,3/14/09,1.19,1 NENC
2 SENC,pct_ed_visits_influenza,3/14/09,1.1,2 SENC
3 FAY AREA,pct_ed_visits_influenza,3/14/09,2.18,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,3/14/09,1.08,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,3/14/09,0.56,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,3/14/09,1.12,6 WNC
7 CLT AREA,pct_ed_visits_influenza,3/14/09,0.86,7 CLT AREA
1 NENC,pct_ed_visits_influenza,3/21/09,0.91,1 NENC
2 SENC,pct_ed_visits_influenza,3/21/09,0.84,2 SENC
3 FAY AREA,pct_ed_visits_influenza,3/21/09,1.7,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,3/21/09,0.99,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,3/21/09,0.31,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,3/21/09,0.6,6 WNC
7 CLT AREA,pct_ed_visits_influenza,3/21/09,0.7,7 CLT AREA
1 NENC,pct_ed_visits_influenza,3/28/09,0.73,1 NENC
2 SENC,pct_ed_visits_influenza,3/28/09,0.53,2 SENC
3 FAY AREA,pct_ed_visits_influenza,3/28/09,1.33,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,3/28/09,0.67,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,3/28/09,0.27,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,3/28/09,0.35,6 WNC
7 CLT AREA,pct_ed_visits_influenza,3/28/09,0.57,7 CLT AREA
1 NENC,pct_ed_visits_influenza,4/4/09,0.65,1 NENC
2 SENC,pct_ed_visits_influenza,4/4/09,0.36,2 SENC
3 FAY AREA,pct_ed_visits_influenza,4/4/09,0.81,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,4/4/09,0.4,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,4/4/09,0.28,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,4/4/09,0.25,6 WNC
7 CLT AREA,pct_ed_visits_influenza,4/4/09,0.43,7 CLT AREA
1 NENC,pct_ed_visits_influenza,4/11/09,0.23,1 NENC
2 SENC,pct_ed_visits_influenza,4/11/09,0.28,2 SENC
3 FAY AREA,pct_ed_visits_influenza,4/11/09,0.4,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,4/11/09,0.32,4 RTP AREA
5 TRIAD AREA,pct_ed_visits_influenza,4/11/09,0.2,5 TRIAD AREA
6 WNC,pct_ed_visits_influenza,4/11/09,0.1,6 WNC
7 CLT AREA,pct_ed_visits_influenza,4/11/09,0.27,7 CLT AREA
1 NENC,pct_ed_visits_influenza,4/18/09,0.1,1 NENC
2 SENC,pct_ed_visits_influenza,4/18/09,0.12,2 SENC
3 FAY AREA,pct_ed_visits_influenza,4/18/09,0.25,3 FAY AREA
4 RTP AREA,pct_ed_visits_influenza,4/18/09,0.19,4 RTP AREA
