Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Select Metric,
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,8/29/24,Count,41
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,8/30/24,Count,38
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,8/31/24,Count,43
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/1/24,Count,46
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/2/24,Count,39
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/3/24,Count,47
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/4/24,Count,51
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/5/24,Count,32
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/6/24,Count,32
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/7/24,Count,44
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/8/24,Count,42
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/9/24,Count,55
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/10/24,Count,55
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/11/24,Count,52
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/12/24,Count,53
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/13/24,Count,60
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/14/24,Count,47
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/15/24,Count,57
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/16/24,Count,72
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/17/24,Count,86
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/18/24,Count,77
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/19/24,Count,80
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/20/24,Count,76
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/21/24,Count,60
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/22/24,Count,52
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/23/24,Count,101
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/24/24,Count,73
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/25/24,Count,94
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/26/24,Count,71
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/27/24,Count,67
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/28/24,Count,50
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/29/24,Count,37
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/30/24,Count,61
