"geo_value","signal","time_value","value","county"
"48029","pct_ed_visits_influenza",2022-09-25,0.78,"Bexar County"
"48113","pct_ed_visits_influenza",2022-09-25,0.4,"Dallas County"
"48141","pct_ed_visits_influenza",2022-09-25,0.27,"El Paso County"
"48201","pct_ed_visits_influenza",2022-09-25,1.21,"Harris County"
"48453","pct_ed_visits_influenza",2022-09-25,1.38,"Travis County"
"48029","pct_ed_visits_influenza",2022-10-02,1.61,"Bexar County"
"48113","pct_ed_visits_influenza",2022-10-02,0.59,"Dallas County"
"48141","pct_ed_visits_influenza",2022-10-02,0.45,"El Paso County"
"48201","pct_ed_visits_influenza",2022-10-02,2.06,"Harris County"
"48453","pct_ed_visits_influenza",2022-10-02,3.03,"Travis County"
"48029","pct_ed_visits_influenza",2022-10-09,2.75,"Bexar County"
"48113","pct_ed_visits_influenza",2022-10-09,0.79,"Dallas County"
"48141","pct_ed_visits_influenza",2022-10-09,0.27,"El Paso County"
"48201","pct_ed_visits_influenza",2022-10-09,3.19,"Harris County"
"48453","pct_ed_visits_influenza",2022-10-09,3.91,"Travis County"
"48029","pct_ed_visits_influenza",2022-10-16,3.98,"Bexar County"
"48113","pct_ed_visits_influenza",2022-10-16,1.27,"Dallas County"
"48141","pct_ed_visits_influenza",2022-10-16,0.4,"El Paso County"
"48201","pct_ed_visits_influenza",2022-10-16,4.38,"Harris County"
"48453","pct_ed_visits_influenza",2022-10-16,4.48,"Travis County"
"48029","pct_ed_visits_influenza",2022-10-23,6.39,"Bexar County"
"48113","pct_ed_visits_influenza",2022-10-23,2.48,"Dallas County"
"48141","pct_ed_visits_influenza",2022-10-23,0.61,"El Paso County"
"48201","pct_ed_visits_influenza",2022-10-23,7.17,"Harris County"
"48453","pct_ed_visits_influenza",2022-10-23,6.21,"Travis County"
"48029","pct_ed_visits_influenza",2022-10-30,8.91,"Bexar County"
"48113","pct_ed_visits_influenza",2022-10-30,4.54,"Dallas County"
"48141","pct_ed_visits_influenza",2022-10-30,1.44,"El Paso County"
"48201","pct_ed_visits_influenza",2022-10-30,7.8,"Harris County"
"48453","pct_ed_visits_influenza",2022-10-30,6.87,"Travis County"
"48029","pct_ed_visits_influenza",2022-11-06,7.95,"Bexar County"
"48113","pct_ed_visits_influenza",2022-11-06,5.82,"Dallas County"
"48141","pct_ed_visits_influenza",2022-11-06,2.21,"El Paso County"
"48201","pct_ed_visits_influenza",2022-11-06,5.87,"Harris County"
"48453","pct_ed_visits_influenza",2022-11-06,5.42,"Travis County"
"48029","pct_ed_visits_influenza",2022-11-13,7.18,"Bexar County"
"48113","pct_ed_visits_influenza",2022-11-13,7.17,"Dallas County"
"48141","pct_ed_visits_influenza",2022-11-13,3.69,"El Paso County"
"48201","pct_ed_visits_influenza",2022-11-13,4.38,"Harris County"
"48453","pct_ed_visits_influenza",2022-11-13,4.83,"Travis County"
"48029","pct_ed_visits_influenza",2022-11-20,7.11,"Bexar County"
"48113","pct_ed_visits_influenza",2022-11-20,9.91,"Dallas County"
"48141","pct_ed_visits_influenza",2022-11-20,5.94,"El Paso County"
"48201","pct_ed_visits_influenza",2022-11-20,4.28,"Harris County"
"48453","pct_ed_visits_influenza",2022-11-20,6.08,"Travis County"
"48029","pct_ed_visits_influenza",2022-11-27,4.55,"Bexar County"
"48113","pct_ed_visits_influenza",2022-11-27,6.82,"Dallas County"
"48141","pct_ed_visits_influenza",2022-11-27,5.29,"El Paso County"
"48201","pct_ed_visits_influenza",2022-11-27,3.31,"Harris County"
"48453","pct_ed_visits_influenza",2022-11-27,4.17,"Travis County"
"48029","pct_ed_visits_influenza",2022-12-04,3.45,"Bexar County"
"48113","pct_ed_visits_influenza",2022-12-04,5.71,"Dallas County"
"48141","pct_ed_visits_influenza",2022-12-04,5.19,"El Paso County"
"48201","pct_ed_visits_influenza",2022-12-04,2.89,"Harris County"
"48453","pct_ed_visits_influenza",2022-12-04,3.27,"Travis County"
"48029","pct_ed_visits_influenza",2022-12-11,2.42,"Bexar County"
"48113","pct_ed_visits_influenza",2022-12-11,4.02,"Dallas County"
"48141","pct_ed_visits_influenza",2022-12-11,4.23,"El Paso County"
"48201","pct_ed_visits_influenza",2022-12-11,2.09,"Harris County"
"48453","pct_ed_visits_influenza",2022-12-11,2.66,"Travis County"
"48029","pct_ed_visits_influenza",2022-12-18,2.05,"Bexar County"
"48113","pct_ed_visits_influenza",2022-12-18,3.25,"Dallas County"
"48141","pct_ed_visits_influenza",2022-12-18,3.86,"El Paso County"
"48201","pct_ed_visits_influenza",2022-12-18,1.72,"Harris County"
"48453","pct_ed_visits_influenza",2022-12-18,2.54,"Travis County"
"48029","pct_ed_visits_influenza",2022-12-25,1.87,"Bexar County"
"48113","pct_ed_visits_influenza",2022-12-25,2.88,"Dallas County"
"48141","pct_ed_visits_influenza",2022-12-25,2.63,"El Paso County"
"48201","pct_ed_visits_influenza",2022-12-25,1.7,"Harris County"
"48453","pct_ed_visits_influenza",2022-12-25,2.34,"Travis County"
"48029","pct_ed_visits_influenza",2023-01-01,1.35,"Bexar County"
"48113","pct_ed_visits_influenza",2023-01-01,1.64,"Dallas County"
"48141","pct_ed_visits_influenza",2023-01-01,1.14,"El Paso County"
"48201","pct_ed_visits_influenza",2023-01-01,1.12,"Harris County"
"48453","pct_ed_visits_influenza",2023-01-01,1.75,"Travis County"
"48029","pct_ed_visits_influenza",2023-01-08,0.76,"Bexar County"
"48113","pct_ed_visits_influenza",2023-01-08,1.1,"Dallas County"
"48141","pct_ed_visits_influenza",2023-01-08,0.69,"El Paso County"
"48201","pct_ed_visits_influenza",2023-01-08,0.88,"Harris County"
"48453","pct_ed_visits_influenza",2023-01-08,1.11,"Travis County"
"48029","pct_ed_visits_influenza",2023-01-15,0.68,"Bexar County"
"48113","pct_ed_visits_influenza",2023-01-15,0.75,"Dallas County"
"48141","pct_ed_visits_influenza",2023-01-15,0.58,"El Paso County"
"48201","pct_ed_visits_influenza",2023-01-15,0.65,"Harris County"
"48453","pct_ed_visits_influenza",2023-01-15,0.77,"Travis County"
"48029","pct_ed_visits_influenza",2023-01-22,0.57,"Bexar County"
"48113","pct_ed_visits_influenza",2023-01-22,0.67,"Dallas County"
"48141","pct_ed_visits_influenza",2023-01-22,0.66,"El Paso County"
"48201","pct_ed_visits_influenza",2023-01-22,0.56,"Harris County"
"48453","pct_ed_visits_influenza",2023-01-22,0.59,"Travis County"
"48029","pct_ed_visits_influenza",2023-01-29,0.5,"Bexar County"
"48113","pct_ed_visits_influenza",2023-01-29,0.45,"Dallas County"
"48141","pct_ed_visits_influenza",2023-01-29,0.51,"El Paso County"
"48201","pct_ed_visits_influenza",2023-01-29,0.56,"Harris County"
"48453","pct_ed_visits_influenza",2023-01-29,0.71,"Travis County"
"48029","pct_ed_visits_influenza",2023-02-05,0.38,"Bexar County"
"48113","pct_ed_visits_influenza",2023-02-05,0.52,"Dallas County"
