geo_value,signal,time_value,value,region,,
1 NENC,pct_ed_visits_influenza,1/10/2009,0.09,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/10/2009,0.04,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/10/2009,0.25,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/10/2009,0.13,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/10/2009,0.13,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/10/2009,0.02,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/10/2009,0.21,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/17/2009,0.1,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/17/2009,0.08,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/17/2009,0.21,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/17/2009,0.13,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/17/2009,0.18,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/17/2009,0.04,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/17/2009,0.12,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/24/2009,0.18,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/24/2009,0.11,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/24/2009,0.25,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/24/2009,0.09,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/24/2009,0.28,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/24/2009,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/24/2009,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/31/2009,0.22,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/31/2009,0.2,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/31/2009,0.23,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/31/2009,0.2,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/31/2009,0.39,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/31/2009,0.11,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/31/2009,0.14,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/7/2009,0.35,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/7/2009,0.22,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/7/2009,0.34,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/7/2009,0.3,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/7/2009,0.62,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/7/2009,0.22,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/7/2009,0.42,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/14/2009,0.53,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/14/2009,0.88,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/14/2009,0.66,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/14/2009,0.62,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/14/2009,0.81,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/14/2009,0.51,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/14/2009,0.58,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/21/2009,0.97,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/21/2009,0.73,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/21/2009,0.8,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/21/2009,1,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/21/2009,0.88,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/21/2009,0.73,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/21/2009,0.87,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/28/2009,1.47,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/28/2009,1.37,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/28/2009,1.31,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/28/2009,1.31,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/28/2009,1.06,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/28/2009,1.13,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/28/2009,0.85,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/7/2009,1.23,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/7/2009,1.8,2 SENC,,
