geo_value,signal,time_value,value,region
north-carolina,pct_ed_visits_influenza,1/3/09,0.15,north-carolina
north-carolina,pct_ed_visits_influenza,1/10/09,0.14,north-carolina
north-carolina,pct_ed_visits_influenza,1/17/09,0.14,north-carolina
north-carolina,pct_ed_visits_influenza,1/24/09,0.16,north-carolina
north-carolina,pct_ed_visits_influenza,1/31/09,0.22,north-carolina
north-carolina,pct_ed_visits_influenza,2/7/09,0.38,north-carolina
north-carolina,pct_ed_visits_influenza,2/14/09,0.65,north-carolina
north-carolina,pct_ed_visits_influenza,2/21/09,0.87,north-carolina
north-carolina,pct_ed_visits_influenza,2/28/09,1.17,north-carolina
north-carolina,pct_ed_visits_influenza,3/7/09,1.34,north-carolina
north-carolina,pct_ed_visits_influenza,3/14/09,1.13,north-carolina
north-carolina,pct_ed_visits_influenza,3/21/09,0.85,north-carolina
north-carolina,pct_ed_visits_influenza,3/28/09,0.64,north-carolina
north-carolina,pct_ed_visits_influenza,4/4/09,0.46,north-carolina
north-carolina,pct_ed_visits_influenza,4/11/09,0.26,north-carolina
north-carolina,pct_ed_visits_influenza,4/18/09,0.15,north-carolina
north-carolina,pct_ed_visits_influenza,4/25/09,0.11,north-carolina
north-carolina,pct_ed_visits_influenza,5/2/09,0.21,north-carolina
north-carolina,pct_ed_visits_influenza,5/9/09,0.15,north-carolina
north-carolina,pct_ed_visits_influenza,5/16/09,0.11,north-carolina
north-carolina,pct_ed_visits_influenza,5/23/09,0.11,north-carolina
north-carolina,pct_ed_visits_influenza,5/30/09,0.07,north-carolina
north-carolina,pct_ed_visits_influenza,6/6/09,0.08,north-carolina
north-carolina,pct_ed_visits_influenza,6/13/09,0.18,north-carolina
north-carolina,pct_ed_visits_influenza,6/20/09,0.23,north-carolina
north-carolina,pct_ed_visits_influenza,6/27/09,0.25,north-carolina
north-carolina,pct_ed_visits_influenza,7/4/09,0.31,north-carolina
north-carolina,pct_ed_visits_influenza,7/11/09,0.25,north-carolina
north-carolina,pct_ed_visits_influenza,7/18/09,0.25,north-carolina
north-carolina,pct_ed_visits_influenza,7/25/09,0.27,north-carolina
north-carolina,pct_ed_visits_influenza,8/1/09,0.36,north-carolina
north-carolina,pct_ed_visits_influenza,8/8/09,0.36,north-carolina
north-carolina,pct_ed_visits_influenza,8/15/09,0.37,north-carolina
north-carolina,pct_ed_visits_influenza,8/22/09,0.28,north-carolina
north-carolina,pct_ed_visits_influenza,8/29/09,0.42,north-carolina
north-carolina,pct_ed_visits_influenza,9/5/09,0.73,north-carolina
north-carolina,pct_ed_visits_influenza,9/12/09,1.33,north-carolina
north-carolina,pct_ed_visits_influenza,9/19/09,1.87,north-carolina
north-carolina,pct_ed_visits_influenza,9/26/09,2.56,north-carolina
north-carolina,pct_ed_visits_influenza,10/3/09,3.44,north-carolina
north-carolina,pct_ed_visits_influenza,10/10/09,3.91,north-carolina
north-carolina,pct_ed_visits_influenza,10/17/09,3.83,north-carolina
north-carolina,pct_ed_visits_influenza,10/24/09,4.22,north-carolina
north-carolina,pct_ed_visits_influenza,10/31/09,3.21,north-carolina
north-carolina,pct_ed_visits_influenza,11/7/09,2.48,north-carolina
north-carolina,pct_ed_visits_influenza,11/14/09,1.73,north-carolina
north-carolina,pct_ed_visits_influenza,11/21/09,1.17,north-carolina
north-carolina,pct_ed_visits_influenza,11/28/09,0.82,north-carolina
north-carolina,pct_ed_visits_influenza,12/5/09,0.71,north-carolina
north-carolina,pct_ed_visits_influenza,12/12/09,0.51,north-carolina
north-carolina,pct_ed_visits_influenza,12/19/09,0.41,north-carolina
north-carolina,pct_ed_visits_influenza,12/26/09,0.44,north-carolina
north-carolina,pct_ed_visits_influenza,1/2/10,0.36,north-carolina
north-carolina,pct_ed_visits_influenza,1/9/10,0.35,north-carolina
north-carolina,pct_ed_visits_influenza,1/16/10,0.27,north-carolina
north-carolina,pct_ed_visits_influenza,1/23/10,0.28,north-carolina
north-carolina,pct_ed_visits_influenza,1/30/10,0.24,north-carolina
north-carolina,pct_ed_visits_influenza,2/6/10,0.16,north-carolina
north-carolina,pct_ed_visits_influenza,2/13/10,0.22,north-carolina
north-carolina,pct_ed_visits_influenza,2/20/10,0.22,north-carolina
north-carolina,pct_ed_visits_influenza,2/27/10,0.23,north-carolina
north-carolina,pct_ed_visits_influenza,3/6/10,0.22,north-carolina
