Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Select Metric,
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,8/29/24,Average Ratio,0.0037
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,8/30/24,Average Ratio,0.0035
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,8/31/24,Average Ratio,0.0044
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/1/24,Average Ratio,0.0047
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/2/24,Average Ratio,0.0038
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/3/24,Average Ratio,0.004
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/4/24,Average Ratio,0.0045
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/5/24,Average Ratio,0.0029
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/6/24,Average Ratio,0.0028
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/7/24,Average Ratio,0.0045
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/8/24,Average Ratio,0.0045
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/9/24,Average Ratio,0.0044
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/10/24,Average Ratio,0.0047
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/11/24,Average Ratio,0.0045
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/12/24,Average Ratio,0.0046
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/13/24,Average Ratio,0.0052
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/14/24,Average Ratio,0.0045
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/15/24,Average Ratio,0.0057
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/16/24,Average Ratio,0.0055
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/17/24,Average Ratio,0.0069
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/18/24,Average Ratio,0.0062
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/19/24,Average Ratio,0.0065
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/20/24,Average Ratio,0.0063
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/21/24,Average Ratio,0.0058
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/22/24,Average Ratio,0.0053
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/23/24,Average Ratio,0.0078
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/24/24,Average Ratio,0.006
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/25/24,Average Ratio,0.0079
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/26/24,Average Ratio,0.0061
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/27/24,Average Ratio,0.0058
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/28/24,Average Ratio,0.0051
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/29/24,Average Ratio,0.0039
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,9/30/24,Average Ratio,0.0047
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/1/24,Average Ratio,0.0061
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/2/24,Average Ratio,0.0066
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/3/24,Average Ratio,0.0035
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/4/24,Average Ratio,0.0057
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/5/24,Average Ratio,0.0065
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/6/24,Average Ratio,0.0064
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/7/24,Average Ratio,0.0064
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/8/24,Average Ratio,0.0052
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/9/24,Average Ratio,0.0053
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/10/24,Average Ratio,0.0058
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/11/24,Average Ratio,0.0061
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/12/24,Average Ratio,0.0056
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/13/24,Average Ratio,0.0066
Influenza-like illness (ILI),Borough,Bronx,Age Group,All age groups,10/14/24,Average Ratio,0.0051
