location,reference_date,horizon,target,output_type,output_type_id,target_end_date,value
denver,2026-01-24,0,Flu ED visits pct,quantile,0.025,2026-01-24,0.22142222265664271
denver,2026-01-24,1,Flu ED visits pct,quantile,0.025,2026-01-31,0.056793927498568514
denver,2026-01-24,2,Flu ED visits pct,quantile,0.025,2026-02-07,0.007713351538101696
denver,2026-01-24,3,Flu ED visits pct,quantile,0.025,2026-02-14,0.0
denver,2026-01-24,0,Flu ED visits pct,quantile,0.05,2026-01-24,0.27544696787745726
denver,2026-01-24,1,Flu ED visits pct,quantile,0.05,2026-01-31,0.08004154897046038
denver,2026-01-24,2,Flu ED visits pct,quantile,0.05,2026-02-07,0.016733153693448355
denver,2026-01-24,3,Flu ED visits pct,quantile,0.05,2026-02-14,0.0
denver,2026-01-24,0,Flu ED visits pct,quantile,0.1,2026-01-24,0.37561935013828845
denver,2026-01-24,1,Flu ED visits pct,quantile,0.1,2026-01-31,0.11997118295647438
denver,2026-01-24,2,Flu ED visits pct,quantile,0.1,2026-02-07,0.03270900443813419
denver,2026-01-24,3,Flu ED visits pct,quantile,0.1,2026-02-14,0.0
denver,2026-01-24,0,Flu ED visits pct,quantile,0.25,2026-01-24,0.6416150707099324
denver,2026-01-24,1,Flu ED visits pct,quantile,0.25,2026-01-31,0.24661019089490335
denver,2026-01-24,2,Flu ED visits pct,quantile,0.25,2026-02-07,0.08890454855731793
denver,2026-01-24,3,Flu ED visits pct,quantile,0.25,2026-02-14,0.02588817220196116
denver,2026-01-24,0,Flu ED visits pct,quantile,0.5,2026-01-24,1.118591568394907
denver,2026-01-24,1,Flu ED visits pct,quantile,0.5,2026-01-31,0.5222706472903221
denver,2026-01-24,2,Flu ED visits pct,quantile,0.5,2026-02-07,0.23523679811495124
denver,2026-01-24,3,Flu ED visits pct,quantile,0.5,2026-02-14,0.08938271416358093
denver,2026-01-24,0,Flu ED visits pct,quantile,0.75,2026-01-24,1.67716290559226
denver,2026-01-24,1,Flu ED visits pct,quantile,0.75,2026-01-31,0.9137649157032902
denver,2026-01-24,2,Flu ED visits pct,quantile,0.75,2026-02-07,0.4343872263851577
denver,2026-01-24,3,Flu ED visits pct,quantile,0.75,2026-02-14,0.22646550953322106
denver,2026-01-24,0,Flu ED visits pct,quantile,0.9,2026-01-24,2.1856388096490442
denver,2026-01-24,1,Flu ED visits pct,quantile,0.9,2026-01-31,1.3406494112469638
denver,2026-01-24,2,Flu ED visits pct,quantile,0.9,2026-02-07,0.71916157567042
denver,2026-01-24,3,Flu ED visits pct,quantile,0.9,2026-02-14,0.4071735706711631
denver,2026-01-24,0,Flu ED visits pct,quantile,0.95,2026-01-24,2.4752755091865133
denver,2026-01-24,1,Flu ED visits pct,quantile,0.95,2026-01-31,1.5361245599794195
denver,2026-01-24,2,Flu ED visits pct,quantile,0.95,2026-02-07,0.8737430049694973
denver,2026-01-24,3,Flu ED visits pct,quantile,0.95,2026-02-14,0.5333027323262888
denver,2026-01-24,0,Flu ED visits pct,quantile,0.975,2026-01-24,2.7793447131792512
denver,2026-01-24,1,Flu ED visits pct,quantile,0.975,2026-01-31,1.7150870038905657
denver,2026-01-24,2,Flu ED visits pct,quantile,0.975,2026-02-07,1.0301152070679551
denver,2026-01-24,3,Flu ED visits pct,quantile,0.975,2026-02-14,0.6396762700868207
mesa,2026-01-24,0,Flu ED visits pct,quantile,0.025,2026-01-24,0.0
mesa,2026-01-24,1,Flu ED visits pct,quantile,0.025,2026-01-31,0.0
mesa,2026-01-24,2,Flu ED visits pct,quantile,0.025,2026-02-07,0.0
mesa,2026-01-24,3,Flu ED visits pct,quantile,0.025,2026-02-14,0.0
mesa,2026-01-24,0,Flu ED visits pct,quantile,0.05,2026-01-24,0.10417639604257586
mesa,2026-01-24,1,Flu ED visits pct,quantile,0.05,2026-01-31,0.0
mesa,2026-01-24,2,Flu ED visits pct,quantile,0.05,2026-02-07,0.0
