"","reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"1","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.025,5.48695973637678
"2","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.025,5.47965133096361
"3","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.025,5.19458592928563
"4","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.025,4.95966542642291
"5","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.05,6.1387632491994
"6","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.05,6.20245081110614
"7","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.05,5.96036341113335
"8","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.05,5.77462822898843
"9","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.1,7.23833421636329
"10","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.1,7.24916783921663
"11","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.1,6.98866402603287
"12","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.1,6.73874016007571
"13","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.25,8.31552055198541
"14","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.25,8.29296889341967
"15","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.25,8.17176740616462
"16","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.25,7.89567437502516
"17","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.5,9.14358901785038
"18","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.5,9.15656833557368
"19","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.5,9.07116297601753
"20","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.5,8.92365774342597
"21","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.75,10.3797498818356
"22","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.75,10.3897530904882
"23","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.75,10.5635792925942
"24","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.75,10.675919494222
"25","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.9,10.7512617696034
"26","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.9,11.0205344876888
"27","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.9,10.9976050645046
"28","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.9,10.8516206207145
"29","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.95,10.85956842553
"30","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.95,11.0577527919849
"31","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.95,11.2750410729465
"32","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.95,11.4479791478949
"33","2025-12-20","nyc",0,"ILI ED visits pct","2025-12-20","quantile",0.975,11.8538430913026
"34","2025-12-20","nyc",1,"ILI ED visits pct","2025-12-27","quantile",0.975,11.9168382820014
"35","2025-12-20","nyc",2,"ILI ED visits pct","2026-01-03","quantile",0.975,12.1047697501185
"36","2025-12-20","nyc",3,"ILI ED visits pct","2026-01-10","quantile",0.975,12.0507269707189
"37","2025-12-20","savannah",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.0639979035396456
"38","2025-12-20","floyd",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.735662793591675
"39","2025-12-20","hall",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.360648383323459
"40","2025-12-20","marietta",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.360672153741101
"41","2025-12-20","macon",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.815096109620381
"42","2025-12-20","henry",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.524518286582183
"43","2025-12-20","cherokee",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.589203907663696
"44","2025-12-20","athens",0,"Flu ED visits pct","2025-12-20","quantile",0.025,1.0211122219869
"45","2025-12-20","south-augusta",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.160973454134397
"46","2025-12-20","columbus",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.09775752154544
"47","2025-12-20","la-grange",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.742031850669942
"48","2025-12-20","georgia",0,"Flu ED visits pct","2025-12-20","quantile",0.025,0.591971687982108
"49","2025-12-20","savannah",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.0533588971808957
"50","2025-12-20","floyd",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.683697145340213
"51","2025-12-20","hall",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.33923582449095
"52","2025-12-20","marietta",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.321684366849002
"53","2025-12-20","macon",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.813030753810481
"54","2025-12-20","henry",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.428381069563488
"55","2025-12-20","cherokee",1,"Flu ED visits pct","2025-12-27","quantile",0.025,0.536276093896072
