"","reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"1",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.01,754
"2",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.025,793.975
"3",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.05,833
"4",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.1,870.9
"5",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.15,905.85
"6",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.2,928
"7",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.25,949
"8",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.3,968
"9",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.35,988
"10",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.4,1007
"11",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.45,1028
"12",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.5,1046
"13",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.55,1065
"14",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.6,1092
"15",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.65,1108.35
"16",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.7,1126
"17",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.75,1148
"18",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.8,1174.2
"19",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.85,1205.15
"20",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.9,1246.1
"21",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.95,1313.05
"22",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.975,1370.05
"23",2025-02-22,"Bronx",0,"ILI ED visits",2025-02-22,"quantile",0.99,1445.04
"24",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.01,847
"25",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.025,903
"26",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.05,938.85
"27",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.1,991.9
"28",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.15,1025.85
"29",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.2,1050
"30",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.25,1071
"31",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.3,1092
"32",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.35,1116
"33",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.4,1135
"34",2025-02-22,"Brooklyn",0,"ILI ED visits",2025-02-22,"quantile",0.45,1158
