"","reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"1",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.025,1068.975
"2",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.05,1135
"3",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.1,1214.9
"4",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.25,1347
"5",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.5,1532.5
"6",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.75,1732
"7",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.9,1933.1
"8",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.95,2066
"9",2025-01-25,"Bronx",0,"ILI ED visits",2025-01-25,"quantile",0.975,2189.05
"10",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.025,1170.975
"11",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.05,1232.95
"12",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.1,1316
"13",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.25,1477
"14",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.5,1675.5
"15",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.75,1900
"16",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.9,2118
"17",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.95,2273
"18",2025-01-25,"Brooklyn",0,"ILI ED visits",2025-01-25,"quantile",0.975,2418.025
"19",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.025,618
"20",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.05,659
"21",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.1,709.9
"22",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.25,792
"23",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.5,898
"24",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.75,1021
"25",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.9,1145.1
"26",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.95,1229.1
"27",2025-01-25,"Manhattan",0,"ILI ED visits",2025-01-25,"quantile",0.975,1299.05
"28",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.025,4468
"29",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.05,4736.95
"30",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.1,5082.6
"31",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.25,5665
"32",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.5,6411
"33",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.75,7257.25
"34",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.9,8064.2
"35",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.95,8671.05
"36",2025-01-25,"NYC",0,"ILI ED visits",2025-01-25,"quantile",0.975,9236.125
"37",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.025,1317
"38",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.05,1387
"39",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.1,1486
"40",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.25,1666
"41",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.5,1876
"42",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.75,2125
"43",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.9,2382
"44",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.95,2554.05
"45",2025-01-25,"Queens",0,"ILI ED visits",2025-01-25,"quantile",0.975,2697.025
"46",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.025,122.975
"47",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.05,130
"48",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.1,142
"49",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.25,160
"50",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.5,182
"51",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.75,208
"52",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.9,235
"53",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.95,252.05
"54",2025-01-25,"Staten Island",0,"ILI ED visits",2025-01-25,"quantile",0.975,270
"55",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.025,970.975
"56",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.05,1039.95
"57",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.1,1118
"58",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.25,1292
"59",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.5,1491
"60",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.75,1738
"61",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.9,1971
"62",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.95,2122
"63",2025-01-25,"Bronx",1,"ILI ED visits",2025-02-01,"quantile",0.975,2279.025
"64",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.025,1064
"65",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.05,1142
"66",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.1,1233
"67",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.25,1421
"68",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.5,1644
"69",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.75,1900
"70",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.9,2191.1
"71",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.95,2375.05
"72",2025-01-25,"Brooklyn",1,"ILI ED visits",2025-02-01,"quantile",0.975,2504.05
"73",2025-01-25,"Manhattan",1,"ILI ED visits",2025-02-01,"quantile",0.025,570.975
