"target_end_date","location","target","oracle_value"
2016-01-02,"Bronx","ILI ED visits",165
2016-01-02,"Brooklyn","ILI ED visits",166
2016-01-02,"Manhattan","ILI ED visits",84
2016-01-02,"NYC","ILI ED visits",744
2016-01-02,"Queens","ILI ED visits",280
2016-01-02,"Staten Island","ILI ED visits",28
2016-01-02,"Unknown","ILI ED visits",21
2016-01-09,"Bronx","ILI ED visits",447
2016-01-09,"Brooklyn","ILI ED visits",462
2016-01-09,"Manhattan","ILI ED visits",241
2016-01-09,"NYC","ILI ED visits",2055
2016-01-09,"Queens","ILI ED visits",746
2016-01-09,"Staten Island","ILI ED visits",103
2016-01-09,"Unknown","ILI ED visits",56
2016-01-16,"Bronx","ILI ED visits",387
2016-01-16,"Brooklyn","ILI ED visits",406
2016-01-16,"Manhattan","ILI ED visits",247
2016-01-16,"NYC","ILI ED visits",1810
2016-01-16,"Queens","ILI ED visits",643
2016-01-16,"Staten Island","ILI ED visits",78
2016-01-16,"Unknown","ILI ED visits",49
2016-01-23,"Bronx","ILI ED visits",350
2016-01-23,"Brooklyn","ILI ED visits",450
2016-01-23,"Manhattan","ILI ED visits",235
2016-01-23,"NYC","ILI ED visits",1748
2016-01-23,"Queens","ILI ED visits",594
2016-01-23,"Staten Island","ILI ED visits",66
2016-01-23,"Unknown","ILI ED visits",53
2016-01-30,"Bronx","ILI ED visits",429
2016-01-30,"Brooklyn","ILI ED visits",442
2016-01-30,"Manhattan","ILI ED visits",244
2016-01-30,"NYC","ILI ED visits",1933
2016-01-30,"Queens","ILI ED visits",684
2016-01-30,"Staten Island","ILI ED visits",91
2016-01-30,"Unknown","ILI ED visits",43
2016-02-06,"Bronx","ILI ED visits",463
2016-02-06,"Brooklyn","ILI ED visits",531
2016-02-06,"Manhattan","ILI ED visits",288
2016-02-06,"NYC","ILI ED visits",2170
2016-02-06,"Queens","ILI ED visits",727
2016-02-06,"Staten Island","ILI ED visits",101
2016-02-06,"Unknown","ILI ED visits",60
2016-02-13,"Bronx","ILI ED visits",571
2016-02-13,"Brooklyn","ILI ED visits",633
2016-02-13,"Manhattan","ILI ED visits",345
2016-02-13,"NYC","ILI ED visits",2469
2016-02-13,"Queens","ILI ED visits",744
2016-02-13,"Staten Island","ILI ED visits",114
2016-02-13,"Unknown","ILI ED visits",62
2016-02-20,"Bronx","ILI ED visits",571
2016-02-20,"Brooklyn","ILI ED visits",692
2016-02-20,"Manhattan","ILI ED visits",408
2016-02-20,"NYC","ILI ED visits",2722
2016-02-20,"Queens","ILI ED visits",861
2016-02-20,"Staten Island","ILI ED visits",119
2016-02-20,"Unknown","ILI ED visits",71
